Benchmark,Environment,Size,Mean (ms),Standard Deviation (ms)
\textsc{SumSquares},JavAssembler,1000,0.001049,0.000317
\textsc{SumSquares},JavaScript,1000,0.001053,0.000226
\textsc{SumSquares},C++,1000,0.000834,0.000423
\textsc{SumSquares},JavAssembler,10000,0.008515,0.000174
\textsc{SumSquares},JavaScript,10000,0.011381,0.000304
\textsc{SumSquares},C++,10000,0.005822,0.000132
\textsc{SumSquares},JavAssembler,50000,0.042118,0.001072
\textsc{SumSquares},JavaScript,50000,0.05631,0.000593
\textsc{SumSquares},C++,50000,0.028491,0.000615
\textsc{Recursion},JavAssembler,100,0.000443,0.000011
\textsc{Recursion},JavaScript,100,0.00047,0.000016
\textsc{Recursion},C++,100,0.000569,0.000014
\textsc{Recursion},JavAssembler,1000,0.004916,0.000142
\textsc{Recursion},JavaScript,1000,0.004887,0.000189
\textsc{Recursion},C++,1000,0.005015,0.000698
\textsc{Recursion},JavAssembler,5000,0.029529,0.001605
\textsc{Recursion},JavaScript,5000,0.026869,0.000736
\textsc{Recursion},C++,5000,0.025551,0.000897
\textsc{LinkedList},JavAssembler,1000,0.060407,0.001707
\textsc{LinkedList},JavaScript,1000,0.008518,0.00046
\textsc{LinkedList},C++,1000,0.045671,0.002241
\textsc{LinkedList},JavAssembler,10000,0.603376,0.019181
\textsc{LinkedList},JavaScript,10000,0.097731,0.007885
\textsc{LinkedList},C++,10000,0.451093,0.009589
\textsc{LinkedList},JavAssembler,20000,1.200958,0.034301
\textsc{LinkedList},JavaScript,20000,0.215071,0.009854
\textsc{LinkedList},C++,20000,0.9025,0.025806
\textsc{Array},JavAssembler,1000,0.008702,0.000149
\textsc{Array},JavaScript,1000,0.005309,0.00025
\textsc{Array},C++,1000,0.002428,0.000080
\textsc{Array},JavAssembler,10000,0.088255,0.001632
\textsc{Array},JavaScript,10000,0.050906,0.00496
\textsc{Array},C++,10000,0.020441,0.001211
\textsc{Array},JavAssembler,20000,0.183881,0.003764
\textsc{Array},JavaScript,20000,0.213393,0.018982
\textsc{Array},C++,20000,0.040325,0.001195
