Benchmark,Environment,Size,Mean,Standard Deviation
Sum of squares,JavAssembler,1000,0.0000010486482148565123,3.167370403856805e-7
Sum of squares,JavaScript,1000,0.0000010533586674610405,2.2563164054440728e-7
Sum of squares,C++,1000,8.340261376564033e-7,4.2302941374264613e-7
Sum of squares,JavAssembler,10000,0.000008515107054992801,1.7420778146026735e-7
Sum of squares,JavaScript,10000,0.000011380918146376003,3.040864521995568e-7
Sum of squares,C++,10000,0.000005822102833732789,1.3218609838553877e-7
Sum of squares,JavAssembler,50000,0.00004211802314551385,0.000001072326910497141
Sum of squares,JavaScript,50000,0.0000563104994390249,5.928633130062268e-7
Sum of squares,C++,50000,0.00002849064418177885,6.152928134215876e-7
Recursion,JavAssembler,100,4.432145842034363e-7,1.0815991589704068e-8
Recursion,JavaScript,100,4.7045302705339707e-7,1.5547201258833355e-8
Recursion,C++,100,5.688170836792309e-7,1.4360795136360067e-8
Recursion,JavAssembler,1000,0.000004916037382804402,1.4201655150143655e-7
Recursion,JavaScript,1000,0.000004887094899025124,1.8939557574179186e-7
Recursion,C++,1000,0.000005015004716895669,6.982036881200935e-7
Recursion,JavAssembler,5000,0.00002952894606032403,0.0000016054896576078924
Recursion,JavaScript,5000,0.00002686933793781164,7.363817893235135e-7
Recursion,C++,5000,0.000025550618175393193,8.971322369467509e-7
Linked list traversal,JavAssembler,1000,0.000060407339501450064,0.0000017071309985119661
Linked list traversal,JavaScript,1000,0.000008517578791215124,4.603438751424685e-7
Linked list traversal,C++,1000,0.00004567064756726337,0.000002240804416163476
Linked list traversal,JavAssembler,10000,0.0006033758279126727,0.000019181155031449387
Linked list traversal,JavaScript,10000,0.00009773070138355155,0.0000078847159391894
Linked list traversal,C++,10000,0.00045109265862359414,0.000009588979150811574
Linked list traversal,JavAssembler,20000,0.0012009582718597591,0.00003430126827066036
Linked list traversal,JavaScript,20000,0.0002150713284351308,0.000009853823660748305
Linked list traversal,C++,20000,0.0009025002995706368,0.000025805800698431133
Array traversal,JavAssembler,1000,0.00000870183953629602,1.4937719360420106e-7
Array traversal,JavaScript,1000,0.000005309034485489639,2.4953666494610474e-7
Array traversal,C++,1000,0.0000024283683419384987,8.020782217497252e-8
Array traversal,JavAssembler (no bounds checking),1000,0.003976724415567151,0.00031501977881229204
Array traversal,JavAssembler,10000,0.00008825539450330546,0.0000016324442056411688
Array traversal,JavaScript,10000,0.000050906095174596655,0.000004959848106594631
Array traversal,C++,10000,0.000020440641622678874,0.0000012114847324482757
Array traversal,JavAssembler (no bounds checking),10000,0.04174412180457503,0.002253640145244801
Array traversal,JavAssembler,20000,0.00018388116648934217,0.000003764050138379772
Array traversal,JavaScript,20000,0.00021339261996988057,0.000018982421071577026
Array traversal,C++,20000,0.00004032490679186808,0.0000011947760916629002
Array traversal,JavAssembler (no bounds checking),20000,0.10035000478372105,0.01764445223999774
